rnd,N,sumdi,dN,t1,Tdf,COM,cv,prevelance
0.89083137243154,6,47,10,297,120,515.723404255319,0.355771148358783,5.66087416286349e-08
0.275770438609267,13,66,10,11,105,399,0.458150685704105,1.05886486248817e-05
0.46224454588642,17,106,5,14,360,362.764150943396,0.459003711599777,4.39962134071842e-05
0.130021621008556,9,42,3,53,60,492.380952380952,0.524890659167824,1.79969390967718e-09
0.579070040107896,8,41,10,3,45,500.365853658537,0.515585263082757,1.79223486359023e-08
0.0781288988854342,10,67,3,262,225,501.820895522388,0.428265457047907,7.07923707014917e-07
0.731666983733831,19,117,10,41,210,397.48717948718,0.490963462374749,0.00108429698204032
0.811133751676333,20,115,3,14,15,515.269565217391,0.406395983926597,0.101303448605157
0.503273892342517,15,98,7,199,90,602.755102040816,0.383162925622828,0.00798761684605195
0.591847076585267,19,105,3,17,15,408.895238095238,0.502370295029766,0.0193254457352335
0.323983001827774,18,112,3,13,255,462.991071428571,0.407159442386653,0.000222163620655974
0.000585748560614885,10,58,5,213,360,438.586206896552,0.241105482337966,8.14020126434981e-09
0.812434940569346,5,32,3,33,45,391.15625,0.407450150325166,5.92529417912734e-11
0.409163522064084,15,75,10,76,45,635.48,0.518238775634773,0.000264548667743871
0.533819666111529,13,87,7,315,165,563.827586206897,0.410963076760201,0.00206675311660177
0.0161013543936775,10,60,7,47,90,617.2,0.175682092231577,1.01715926351152e-06
0.0907292831737146,8,41,10,3,225,500.365853658537,0.515585263082757,1.08636232927129e-09
0.73034493064278,11,70,5,1,240,442.714285714286,0.440407974125662,2.78829986389065e-06
0.513817534776778,12,63,5,161,330,506.714285714286,0.382033099098012,1.15770055668976e-07
0.161757885544122,9,54,7,246,30,486.611111111111,0.372677996249965,3.11808785807718e-06
0.57861832787738,9,52,5,2,285,502.903846153846,0.38485569415749,2.12769066087521e-09
0.557459035481191,12,85,3,139,0,548.435294117647,0.419049389319321,0.0207096448269067
0.155911653395778,18,111,10,48,45,538.072072072072,0.479278880826703,0.108686103327257
0.301778213337595,14,74,5,15,45,502.932432432432,0.46000945435413,0.000426009903582796
0.400540372050022,9,50,7,149,150,682.64,0.39344631145812,3.83880830149988e-09
0.692882490882331,9,52,5,201,180,611.942307692308,0.343741594840759,4.73157819053074e-09
0.0164749038883111,12,59,5,138,195,530.71186440678,0.478631147330818,8.07287472072434e-08
0.576660544636265,7,39,5,44,45,750.871794871795,0.566235284617158,3.19532630504697e-10
0.644546605482182,7,31,5,35,135,439.935483870968,0.341387265943818,2.55553043753516e-10
0.867400336331344,13,62,5,8,105,501.967741935484,0.454197672268668,1.07744205852271e-05
0.997842556475951,5,29,3,78,120,630.931034482759,0.661044465954511,4.04822947426822e-11
0.677349953175826,12,73,10,8,105,617.027397260274,0.467362249567999,6.65319279257643e-05
0.663838756435381,10,60,7,47,135,617.2,0.175682092231577,4.88790341972435e-07
0.0346824446408881,16,95,7,74,15,510.473684210526,0.400774872734006,0.0286918253732798
0.876502782454217,16,89,5,37,165,491.460674157303,0.477759362370097,0.00185614967507898
0.376276782137245,15,90,5,22,120,423.244444444444,0.50787450018337,0.00340010965531121
0.811954429048322,15,90,5,22,0,423.244444444444,0.50787450018337,0.0254620229267587
0.506945697908986,10,58,5,213,90,438.586206896552,0.241105482337966,7.42517474797177e-07
0.43541599400566,15,78,7,112,210,562.192307692308,0.42507022939212,0.000105953359129377
0.828224118026963,10,46,3,258,255,468.913043478261,0.342961146846355,1.85591498775188e-09
0.89331978167745,13,72,10,30,345,523.222222222222,0.394307487960511,5.35415852010707e-07
0.654964638247877,9,46,7,83,150,631.717391304348,0.48366511872363,1.78452477551164e-09
0.708174424345432,11,62,3,51,360,527.661290322581,0.390908650916147,1.41083604679963e-08
0.249984449432313,4,32,10,78,75,431.9375,0.306186217847897,1.31076779774329e-10
0.84222658156637,8,55,10,124,195,512.363636363636,0.407254173974434,9.84157091522531e-08
0.24070761608798,20,133,5,52,120,453.84962406015,0.362727871698349,0.00419350275013564
0.309854842306524,8,65,10,140,195,546.046153846154,0.344599685670675,4.94202698865844e-07
0.00792969808885091,15,90,5,22,135,423.244444444444,0.50787450018337,0.00268112666086085
0.667982092849165,15,89,3,241,240,619.662921348315,0.482903369555543,0.000416269048105631
0.344129649063444,16,100,7,138,255,639.05,0.427332813312216,0.000390501646630829
0.0740305497898699,12,80,7,26,330,480.9375,0.430644337539164,2.54939515609698e-05
0.981138383233821,14,77,3,66,300,390.831168831169,0.382383863342442,3.46724464810321e-05
0.419280422786814,4,25,7,136,45,438.76,0.477772609791171,3.41921305536182e-12
0.773493417049272,5,32,3,40,315,299.90625,0.407450150325166,3.18077814629743e-10
0.821164958301309,7,31,5,35,0,439.935483870968,0.341387265943818,1.48305358438628e-09
